numero_de_cliente	prob
29183733	0.000314773797147961
29184468	0.000235874716613436
29185245	0.0165830189499939
29186441	0.000757999473078519
29186475	0.00084649381628181
29187730	0.000207601336342112
29187764	0.000337825399942371
29187961	0.00102363997551094
29189899	0.000463394798627732
29189993	0.00183095078409186
29190113	0.000364949121537508
29192179	0.00176485095734526
29193101	0.0015224852142823
29193281	0.000476032494213417
29193324	0.00539602055390413
29195356	0.0164256755799976
29195433	0.000241639015826924
29196099	0.0040052204311034
29196902	0.00207435548991152
29198055	0.000330555624567107
29198891	0.00229487645068493
29199242	0.00439202030979612
29200335	0.000225107677513876
29200343	0.00169431063809121
29200514	0.00426875265981119
29200651	0.0110037492099521
29200727	0.00113312731642802
29200770	0.000114112539003803
29200984	0.00123814027732899
29201086	0.000241449887390453
29201359	0.00210049765590494
29201599	0.00351956544831577
29201701	0.000688497373735294
29201897	0.0010534590051906
29202119	0.00297695811353922
29202512	0.000520401588300213
29203324	0.000380476470949123
29203657	0.00107209892959355
29204767	0.000530391757140114
29205228	0.00124287381299602
29205441	0.149297026814085
29205663	0.000291632781850109
29205988	0.000516707264300703
29206065	0.00124011729891874
29206586	5.62725281201994e-05
29207790	0.000875476446447187
29207901	0.00726027673559681
29208268	0.00300711864862087
29208439	0.00227204409459348
29210856	0.000126686865578171
29211778	0.0069675050762294
29211889	0.00204888928396126
29213699	0.00462108969536646
29214032	0.00584879984932153
29214434	0.000450906563741279
29215330	0.00011550189251061
29215595	0.00337052905802097
29215689	0.000662603829685753
29216697	0.000730800746390788
29216714	0.00489523880179502
29217414	0.000765470177671676
29217500	0.00201788937619155
29217713	0.00913582735843591
29217944	0.00216719542187346
29218080	0.00107598479169349
29218302	0.00204494015971531
29218635	0.00376184811223108
29219250	0.00040477168046044
29220036	0.00139193072847413
29220198	0.000336754567785179
29220335	0.0532556077055729
29220659	0.00126052190619247
29220873	0.00212780472666431
29221163	0.00217376059709667
29223409	0.00976024932818129
29223674	9.82776458506638e-05
29224049	0.0210922179796575
29224058	0.00339040163900339
29224485	0.00912510597425803
